ds,yhat,yhat_lower,yhat_upper
2017-03-17,86.896654230775,24.37694972640631,149.4485774300743
2017-03-18,50.545336008902154,-12.541063510085507,112.84839829611323
2017-03-19,61.107518480446146,3.08125975017043,120.56438947069935
2017-03-20,103.00207712394105,44.65233766795468,163.38369710169422
2017-03-21,100.88094733908059,37.560829726609754,165.10136157121755
2017-03-22,95.67409195124718,32.458990740683745,157.7504744952531
2017-03-23,87.46595969748314,25.06119723230875,145.43597809236698
2017-03-24,82.07943485102129,20.88312441420658,143.700815087294
2017-03-25,44.284235483852015,-18.516254708044855,112.11512184553406
2017-03-26,53.497322349872434,-13.914480241158785,113.78757988090692
2017-03-27,94.17669665813457,29.684573080071587,156.88457379636156
2017-03-28,91.01014510645247,30.146643266121792,150.2737478135351
2017-03-29,84.95915633541894,29.489230597504264,142.063122446889
2017-03-30,76.13446704594367,14.22939253746585,138.75097642662575
2017-03-31,70.37926462959904,12.17018879934886,134.15103323480773
2017-04-01,32.477025274461774,-29.426760192519822,95.6279824671354
2017-04-02,41.8515647993772,-21.928397186442197,103.6273937163836
2017-04-03,82.96068936670103,24.13095914263012,146.53892355964422
2017-04-04,80.48500664751283,15.754917432692832,141.53957088317705
2017-04-05,75.37211715986203,10.528020331770756,136.38294440334698
2017-04-06,67.71263306648704,4.051658886077394,127.92564662548972
2017-04-07,63.32403443591385,-1.221270459852131,127.73223778284606
2017-04-08,26.959319432049405,-37.63845923991206,92.07653112697598
2017-04-09,38.00799864507539,-20.15719132754534,97.3226492386694
2017-04-10,80.89078981478875,23.670960157784894,144.14529850821563
2017-04-11,80.24953984560966,18.252609588392605,140.0480138945411
2017-04-12,76.99255844714244,14.482289444558926,139.95441256549
2017-04-13,71.17177472843599,5.978932364412739,134.4673668433623
2017-04-14,68.56769138871559,7.4706377963441595,134.13336796962355
2017-04-15,33.89905902128893,-29.960242304584195,90.46552308631362
2017-04-16,46.52479014605435,-12.275150858381547,105.67085581050289
2017-04-17,90.83944143898164,31.68705225880851,152.61617754224278
2017-04-18,91.46376840775896,29.969788768559155,154.7076817093536
2017-04-19,89.29051911400019,28.22577924468161,144.69610715015756
2017-04-20,84.36186627125294,25.488927522743484,144.91284932428138
2017-04-21,82.45444633006558,14.708653146098246,142.2429664190377
2017-04-22,48.28892844648355,-14.527116156925386,108.85511119879548
2017-04-23,61.23163878316335,-0.22224626075080708,126.28330763129752
2017-04-24,105.68958113830291,43.896878169226895,168.50303283572558
2017-04-25,106.30037544750618,48.88210919471423,161.53634372118617
2017-04-26,103.97730312136724,39.64214105589104,162.24669940776462
2017-04-27,98.78588491661496,32.49796334748052,159.89431636344375
2017-04-28,96.52798950968622,37.010999333067716,159.36365441224396
2017-04-29,61.95042743479678,-3.449628052971247,122.74094982587116
2017-04-30,74.44558880272537,15.78227373896892,136.64272807074238
2017-05-01,118.44549875014314,53.88267261057535,182.7963368388245
2017-05-02,118.6108444789397,58.65520740742056,184.6810738389262
2017-05-03,115.87519277169058,51.578265087892454,177.02474689700028
2017-05-04,110.32085097633963,49.341809623123645,170.52111178551658
2017-05-05,107.76239300042847,50.11028927180593,171.38487798576114
2017-05-06,72.9548238332589,12.13160768381487,131.83142034422374
2017-05-07,85.29395472130287,26.128391045456112,142.27905836494423
2017-05-08,129.21037123091202,69.2190496822184,191.3938003082783
2017-05-09,129.35855023659238,65.76231709701331,189.60247660340642
2017-05-10,126.6613414592518,64.92966359661739,186.7870607163274
2017-05-11,121.18625724577132,59.68338206833979,182.92916461767948
